,emp_length,annual_income,debt_to_income,delinq_2y,inquiries_last_12m,total_credit_lines,total_credit_limit,total_credit_utilized,num_historical_failed_to_pay,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_active_debit_accounts,total_debit_limit,num_mort_accounts,account_never_delinq_percent,public_record_bankrupt,loan_amount,term,interest_rate,paid_total,homeownership_OWN,homeownership_RENT,verified_income_Source Verified,verified_income_Verified,loan_purpose_credit_card,loan_purpose_debt_consolidation,loan_purpose_home_improvement,loan_purpose_house,loan_purpose_major_purchase,loan_purpose_medical,loan_purpose_moving,loan_purpose_other,loan_purpose_renewable_energy,loan_purpose_small_business,loan_purpose_vacation,application_type_joint,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,sub_grade_A2,sub_grade_A3,sub_grade_A4,sub_grade_A5,sub_grade_B1,sub_grade_B2,sub_grade_B3,sub_grade_B4,sub_grade_B5,sub_grade_C1,sub_grade_C2,sub_grade_C3,sub_grade_C4,sub_grade_C5,sub_grade_D1,sub_grade_D2,sub_grade_D3,sub_grade_D4,sub_grade_D5,sub_grade_E1,sub_grade_E2,sub_grade_E3,sub_grade_E4,sub_grade_E5,sub_grade_F1,sub_grade_F2,sub_grade_F3,sub_grade_F4,sub_grade_F5,sub_grade_G1,sub_grade_G4,initial_listing_status_whole
10,10.0,75000.0,10.45,0,4,22,39433,22895,1,0,2,6,3.0,2,5000,2,94.1,1,25000,60,15.04,1764.95,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2.0,91900.0,1.82,0,4,26,450371,55939,0,0,1,7,4.0,2,9000,3,92.0,0,40000,60,9.92,2500.84,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,5.0,122000.0,12.06,0,8,32,263800,43686,0,31245,2,11,1.0,3,12100,3,84.4,0,16000,36,13.59,2204.88,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,10.0,88000.0,3.67,0,6,65,259915,14387,0,0,0,7,0.0,4,70800,3,98.4,0,17000,60,9.43,1060.47,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,,17000.0,33.98,1,0,22,74042,26483,1,0,3,4,14.0,2,3600,1,90.9,1,3000,36,19.03,454.36,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,10.0,60000.0,38.46,0,0,21,136815,75552,0,0,3,1,,3,39700,2,100.0,0,20000,60,19.03,2023.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,,60000.0,31.22,0,4,21,375092,93016,0,0,3,8,2.0,2,15800,2,95.2,0,12000,60,19.03,1532.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,3.0,72000.0,20.33,0,6,12,58911,54947,0,0,2,3,2.0,1,2500,0,91.7,0,30000,60,28.72,4687.88,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,10.0,210000.0,9.53,0,2,18,322046,73705,0,0,4,6,2.0,2,17500,5,100.0,0,5000,36,26.77,5202.6426724643,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,1.0,83000.0,18.44,3,1,11,555154,39482,0,0,1,1,8.0,3,8300,2,63.6,0,20000,60,15.05,20653.717721938,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,10.0,50000.0,15.6,0,0,13,70313,18128,0,0,2,4,13.0,2,18800,1,100.0,0,7000,36,6.08,1063.69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.0,42000.0,32.0,0,4,19,272403,47575,1,0,3,5,5.0,3,10100,1,100.0,1,10000,36,11.98,989.49,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,5.0,100000.0,26.53,0,1,64,566384,151251,0,150,7,10,6.0,3,26200,6,100.0,0,21050,60,13.59,1909.57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,,40280.0,7.27,0,1,10,188450,6103,0,0,1,0,9.0,1,7500,1,90.0,0,3500,36,6.71,223.71,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,10.0,82000.0,17.31,0,1,26,65425,69177,0,0,2,3,4.0,2,11500,2,88.0,0,8000,36,7.96,744.57,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7.0,55000.0,14.42,0,0,20,197985,17296,0,142,1,3,,7,22100,1,100.0,0,18000,60,12.61,1205.33,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1.0,55000.0,13.68,0,7,17,41891,26637,0,0,1,11,3.0,3,17700,0,100.0,0,10000,36,11.98,750.79,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,5.0,33000.0,19.38,0,0,9,43876,22920,0,0,5,2,19.0,3,17600,0,100.0,0,3200,36,7.34,696.63,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,3.0,60000.0,11.0,0,0,13,56000,14338,0,0,2,5,,2,36400,1,92.3,0,10000,36,5.32,1498.36,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,4.0,48000.0,2.88,0,2,26,147217,2489,0,0,2,3,0.0,1,25000,2,100.0,0,6000,36,6.07,544.14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,4.0,106000.0,26.25,0,2,36,405236,105548,0,0,2,4,0.0,8,62120,4,100.0,0,12000,36,12.62,1600.15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,3.0,245000.0,24.9,0,1,37,772243,497876,0,0,13,4,6.0,2,74100,1,100.0,0,40000,60,9.44,3334.66,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,9.0,50000.0,36.75,1,0,31,246210,51523,0,0,2,3,17.0,8,71100,2,90.3,0,19000,60,19.03,1922.54,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,3.0,80000.0,28.3,0,0,27,250359,113927,0,0,2,4,20.0,3,23800,4,96.3,0,28000,60,20.39,2180.32,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,10.0,140000.0,13.82,0,2,21,631258,69647,0,0,2,5,0.0,1,58100,2,100.0,0,15000,60,9.93,15005.166875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,1.0,70000.0,0.0,0,0,13,30400,92,0,0,0,0,,0,0,0,92.3,0,2400,36,6.08,2409.0499926707002,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,2.0,45000.0,10.59,0,1,9,14500,13304,0,0,0,0,6.0,4,11300,0,100.0,0,10000,36,21.45,1871.52,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,10.0,70000.0,17.06,0,2,21,363649,29954,0,0,3,4,7.0,3,12900,2,95.2,0,24000,60,15.04,1102.83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,2.0,75000.0,18.53,0,2,12,55075,34186,0,0,2,3,2.0,1,19600,0,100.0,0,9500,36,10.42,1531.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,2.0,53592.0,7.1,0,0,6,42499,10466,0,3943,1,1,14.0,1,18800,1,100.0,0,30000,36,12.61,3978.77,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,,19000.0,24.79,0,0,12,23234,12435,1,154,0,2,13.0,2,3000,1,100.0,1,10000,60,18.06,1261.32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,5.0,90000.0,15.72,0,8,24,77285,51012,0,0,2,4,3.0,2,23900,3,100.0,0,15000,60,11.99,1314.42,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,10.0,77000.0,14.82,0,0,29,74852,44015,0,0,2,5,16.0,3,27700,3,96.6,0,35000,60,15.05,3275.75,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2.0,42000.0,25.89,0,1,11,43239,31094,0,0,3,4,1.0,2,8300,0,100.0,0,10000,36,15.05,1379.24,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,4.0,130000.0,13.51,0,2,15,403408,49857,0,667,2,9,8.0,2,34300,2,100.0,0,40000,60,12.62,3581.44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,10.0,76300.0,10.71,0,4,30,185068,26515,1,0,2,7,0.0,2,16800,3,96.7,1,15000,36,6.72,2295.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,2.0,190000.0,2.68,0,0,17,175300,18870,0,0,0,4,16.0,4,78300,1,100.0,0,20000,36,6.71,1214.89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,0.0,41000.0,25.7,0,0,23,29311,13527,0,0,2,1,17.0,5,10300,2,100.0,0,4500,36,15.05,620.68,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,2.0,30000.0,3.64,0,0,9,18000,5542,0,0,0,1,,2,17000,0,100.0,0,16000,60,9.93,1688.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,6.0,88000.0,17.24,0,2,39,404236,199983,0,0,18,5,3.0,3,32000,2,97.4,0,10000,36,10.42,1292.81,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,2.0,115000.0,18.72,0,6,21,394519,69124,0,0,2,11,1.0,8,40150,2,76.0,0,20000,60,22.91,2225.66,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
51,10.0,95731.0,19.64,0,1,37,86768,53109,0,0,2,10,4.0,2,33700,0,100.0,0,20600,60,30.79,3345.79,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
52,2.0,127000.0,9.12,1,0,11,74518,34313,0,0,1,2,18.0,3,32300,0,100.0,0,35000,60,15.05,3305.02,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,10.0,75000.0,22.91,0,0,27,224758,63799,0,0,4,1,,1,23000,3,100.0,0,10000,36,6.07,910.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,5.0,70000.0,21.41,0,1,21,279995,52244,0,0,2,4,9.0,1,14800,3,100.0,0,12000,36,6.07,1092.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,,22000.0,13.05,0,0,6,130600,4277,0,0,0,0,,1,2300,1,80.0,0,1925,36,17.47,139.02,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,8.0,75000.0,20.16,0,4,39,365595,30262,0,391,2,9,0.0,6,49600,1,100.0,0,15000,36,7.34,1390.38,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,10.0,73000.0,39.08,0,8,28,146435,51162,1,0,3,9,0.0,8,40600,1,100.0,1,20000,36,13.59,2703.22,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,,76000.0,14.62,0,2,15,368543,24135,0,0,2,9,12.0,5,56300,2,100.0,0,6000,36,6.72,736.88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,10.0,188000.0,11.64,0,1,26,80444,45181,0,0,2,10,6.0,15,28500,0,100.0,0,10000,36,5.31,1201.49,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,8.0,50000.0,12.15,0,8,27,97664,21687,1,0,1,3,10.0,4,25600,2,96.2,1,25000,36,9.93,4015.51,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,10.0,58000.0,12.58,0,0,22,37300,14770,0,0,0,3,,4,17000,2,86.4,0,10000,36,9.92,961.39,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,1.0,105000.0,16.73,0,0,6,63600,53168,0,0,1,0,,4,51100,0,100.0,0,6000,36,9.93,768.68,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,10.0,114000.0,28.13,1,1,28,451597,88594,0,0,6,8,12.0,2,33000,5,96.4,0,20000,60,14.07,1367.03,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,10.0,150000.0,7.89,0,1,22,96633,43253,0,0,2,6,2.0,4,54000,0,100.0,0,15000,36,7.97,1866.08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,0.0,69000.0,15.42,0,0,37,291176,33890,0,0,2,3,14.0,2,57700,2,94.3,0,20000,36,5.31,1800.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,10.0,30000.0,32.4,0,1,27,69244,23425,0,0,1,4,10.0,5,16850,0,93.0,0,10500,60,9.93,885.17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,5.0,60000.0,17.28,0,2,16,47882,36724,1,295,2,8,5.0,6,12300,1,100.0,1,11400,60,14.08,1098.63,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,5.0,74000.0,32.06,0,0,15,384554,63783,0,0,3,1,16.0,5,66400,3,100.0,0,5500,36,12.61,549.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0.0,25000.0,3.7,1,1,6,1900,807,0,0,0,2,1.0,2,1200,0,66.7,0,5000,36,12.62,829.04,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,,32000.0,22.09,0,6,13,30649,24714,0,0,3,7,1.0,2,2500,3,76.9,0,9600,36,17.47,1014.93,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,0.0,31000.0,16.26,0,2,32,43430,14955,0,0,1,11,9.0,8,22000,0,100.0,0,15000,36,12.62,2502.83,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3.0,64000.0,8.72,0,0,5,49500,19719,0,0,1,1,15.0,2,25000,0,100.0,0,10000,36,6.71,914.89,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
